0.0858	0.0860	0.0827	0.0858	0.0005	0.0904	0.0867	0.1596	0.0904	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0858	0.0860	0.0827	0.0858	0.0005	0.0904	0.0868	0.1596	0.0904	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0860	0.0827	0.0859	0.0005	0.0904	0.0868	0.1596	0.0904	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0860	0.0827	0.0859	0.0005	0.0904	0.0868	0.1597	0.0904	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0860	0.0827	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0860	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
